,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist
0,15,5,5,10,2,3,672,2,0,0,0,141396,121526,14471,5398,0,24802,20958,3140,703,10322,1,15140,5003,5003,25,26,27019,9849,14062,3107,14068,13200,1,0,175,20,15,2,11,1,0,0,0,0,0,0
1,12,8,12,6,2,3,644,1,0,0,0,223758,193791,21449,8518,0,35523,32118,932,2472,27565,5,18921,17667,2298,33,6,45095,20708,22833,1554,16263,14600,0,0,76,137,18,3,13,2,0,0,0,0,0,0
2,11,3,2,4,1,4,675,0,0,0,0,143236,485,129192,13557,0,20524,485,18148,1889,3709,1,18877,7373,7373,16,23,22709,12482,9260,966,13758,11158,2,0,194,12,16,2,6,2,0,0,0,0,0,1
3,15,6,2,6,3,3,629,3,1,0,0,226926,35740,171968,19216,0,27027,6326,15386,5314,11641,1,28204,16262,11596,34,24,37665,13163,22758,1744,17771,17033,3,1,278,10,18,4,15,3,0,0,0,1,1,0
4,4,6,4,3,1,1,557,0,0,0,0,99612,4140,88286,7186,0,9550,833,7876,840,6686,1,8546,7303,0,25,7,19257,6702,11879,675,8253,6925,0,0,32,76,12,2,8,3,1,0,0,0,0,0
5,2,7,6,0,1,0,263,0,0,0,0,87294,0,85272,2021,535,10239,0,10101,137,2434,2,4883,3888,3286,11,4,12458,1732,9821,903,9319,8825,1,1,156,16,12,1,4,2,0,0,0,0,0,0
6,5,5,6,3,1,1,751,0,0,0,0,133556,284,119644,13627,0,14907,244,12825,1836,1182,1,17496,7057,2995,16,23,23194,7670,12920,2603,11189,9508,1,0,186,14,16,1,7,1,0,0,1,0,0,0
7,4,8,6,2,1,1,405,0,0,0,0,83342,4683,73035,5623,0,10695,396,9329,970,9817,1,11971,491,0,28,7,25118,6411,17819,887,8349,7350,0,0,22,80,12,3,10,4,0,0,0,0,0,0
8,4,4,5,4,2,1,238,1,0,0,0,198611,2204,192679,3727,979,21797,2204,16708,2883,1371,1,29911,11924,11148,16,50,28648,11234,17282,130,13054,11883,5,1,242,15,17,0,7,3,0,0,0,0,1,0
9,6,8,7,4,2,1,361,1,0,0,0,203019,0,199251,3767,0,15639,0,15427,212,3130,3,21523,14363,5449,6,9,19942,4731,13113,2097,14164,12875,2,0,246,16,15,1,4,0,0,0,0,0,0,0
10,3,6,2,2,1,1,407,0,0,0,0,61570,6804,54766,0,179,8178,2588,5589,0,768,2,4988,1515,1515,8,0,10669,1551,8283,835,7237,7175,1,0,147,0,10,3,4,2,0,0,0,0,0,0
11,11,7,15,5,3,3,513,2,1,0,0,262757,242818,10829,9109,0,33006,30073,2619,314,6657,1,17705,7048,4418,48,41,30578,19114,10140,1323,17632,15950,1,1,278,26,18,4,16,9,0,0,0,0,1,0
